id,search_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
201,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
202,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
203,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
204,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
205,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
206,2,40,최근 업데이트된 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
207,2,37,최근 업데이트된 콘서트,오아시스 내한공연 [고양],2,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
208,2,32,최근 업데이트된 콘서트,녹황색사회 아시아 투어,3,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
209,2,33,최근 업데이트된 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
210,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-10 00:53:32.601,2025-09-10 00:53:32.601
