id,search_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
31,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 03:03:13.732,2025-09-09 03:03:13.732
1,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
21,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 02:58:32.786,2025-09-09 02:58:32.786
41,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 03:04:34.612,2025-09-09 03:04:34.612
11,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 01:40:47.151,2025-09-09 01:40:47.151
2,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
32,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 03:03:13.732,2025-09-09 03:03:13.732
22,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 02:58:32.786,2025-09-09 02:58:32.786
12,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 01:40:47.151,2025-09-09 01:40:47.151
42,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 03:04:34.612,2025-09-09 03:04:34.612
43,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 03:04:34.612,2025-09-09 03:04:34.612
3,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
13,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 01:40:47.151,2025-09-09 01:40:47.151
23,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 02:58:32.786,2025-09-09 02:58:32.786
33,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 03:03:13.732,2025-09-09 03:03:13.732
