id,home_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
155,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
154,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
1,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
153,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
151,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
152,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
2,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
160,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
159,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
158,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
157,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
156,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
165,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
3,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
164,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
161,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
162,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
163,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
169,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
170,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
168,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
167,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-09 23:54:32.348,2025-09-09 23:54:32.348
