id,concert_id,setlist_id,type,status,created_at,updated_at,concert_title,setlist_title
403,8,312,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트
404,10,325,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL 예상 셋리스트
405,11,302,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ],MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ] 예상 셋리스트
406,12,324,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],크리스토퍼 내한공연 CHRISTOPHER LIVE [서울] 예상 셋리스트
407,13,320,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Minami Earthtication [서울],Minami Earthtication [서울] 예상 셋리스트
408,14,301,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,ARGY 내한 콘서트 1st show in korea,ARGY 내한 콘서트 1st show in korea 예상 셋리스트
409,15,317,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Jacky Cheung 60+ Concert Tour [인천],Jacky Cheung 60+ Concert Tour [인천] 예상 셋리스트
410,16,327,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,"타일러, 더 크리에이터 내한공연 [고양]","타일러, 더 크리에이터 내한공연 [고양] 예상 셋리스트"
411,17,311,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,toconoma ISLAND World Tour [서울],toconoma ISLAND World Tour [서울] 예상 셋리스트
412,19,300,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,에릭 마틴 내한공연,에릭 마틴 내한공연 예상 셋리스트
413,20,330,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,"Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울]","Hitsujibungaku (히츠지분가쿠) Asia Tour: Right now, right here. [서울] 예상 셋리스트"
414,21,319,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Daoko THE YOU ZIZAI ASIA TOUR [서울],Daoko THE YOU ZIZAI ASIA TOUR [서울] 예상 셋리스트
415,22,328,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul 예상 셋리스트
416,23,322,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,My Dying Bride 내한공연,My Dying Bride 내한공연 예상 셋리스트
417,24,305,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,PURA LANA #2 John Carroll Kirby [제주],PURA LANA #2 John Carroll Kirby [제주] 예상 셋리스트
418,25,314,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,뮤즈 내한공연 (MUSE LIVE IN KOREA),뮤즈 내한공연 (MUSE LIVE IN KOREA) 예상 셋리스트
419,26,316,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,ASCA ASIA TOUR [서울],ASCA ASIA TOUR [서울] 예상 셋리스트
420,27,318,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,"SCANDAL TOUR: LOVE, SPARK, JOY! [서울]","SCANDAL TOUR: LOVE, SPARK, JOY! [서울] 예상 셋리스트"
421,28,298,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul,핑크스웨츠 내한공연: Pink Sweat $ Live in Seoul 예상 셋리스트
422,29,307,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,toe New Album Release Tour: NOW WE SEE THE LIGHT [서울],toe New Album Release Tour: NOW WE SEE THE LIGHT [서울] 예상 셋리스트
423,30,308,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,JORDANN ASIA TOUR IN SEOUL,JORDANN ASIA TOUR IN SEOUL 예상 셋리스트
424,31,313,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,톰 그래넌 내한공연 GRENNAN'25,톰 그래넌 내한공연 GRENNAN'25 예상 셋리스트
425,32,315,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,녹황색사회 아시아 투어,녹황색사회 아시아 투어 예상 셋리스트
426,33,321,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Novelbright LIVE TOUR [서울],Novelbright LIVE TOUR [서울] 예상 셋리스트
427,34,323,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,yama Asia Tour: 호시탐탐 [서울],yama Asia Tour: 호시탐탐 [서울] 예상 셋리스트
428,35,299,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,"SAKIYAMA SOUSHI 연주이야기 투어, DIARY","SAKIYAMA SOUSHI 연주이야기 투어, DIARY 예상 셋리스트"
429,36,304,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,TOMIOKA AI ASIA TOUR [서울],TOMIOKA AI ASIA TOUR [서울] 예상 셋리스트
430,37,303,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,오아시스 내한공연 [고양],오아시스 내한공연 [고양] 예상 셋리스트
431,38,309,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,"NEMOPHILA Live, MVXS 5 [서울]","NEMOPHILA Live, MVXS 5 [서울] 예상 셋리스트"
432,39,326,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,Konomi Suzuki Asia Tour [서울],Konomi Suzuki Asia Tour [서울] 예상 셋리스트
433,40,329,ONGOING,,2025-09-09 03:04:34.319,2025-09-09 03:04:34.319,트래비스 스캇 첫 단독 내한공연 [고양],트래비스 스캇 첫 단독 내한공연 [고양] 예상 셋리스트
