id,concert_id,setlist_id,type,status,created_at,updated_at,concert_title,setlist_title
43,8,80,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트
74,8,179,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트
105,8,212,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트
136,8,245,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR,제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 예상 셋리스트
56,10,93,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL 예상 셋리스트
87,10,192,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL 예상 셋리스트
118,10,225,EXPECTED,,2025-09-08 14:00:18.689,2025-09-08 14:00:18.689,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL 예상 셋리스트
149,10,258,EXPECTED,,2025-09-08 14:22:18.239,2025-09-08 14:22:18.239,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL 예상 셋리스트
35,11,70,EXPECTED,,2025-09-05 19:32:35.301,2025-09-05 19:32:35.301,MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ],MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ] 예상 셋리스트
66,11,169,EXPECTED,,2025-09-05 22:30:40.806,2025-09-05 22:30:40.806,MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ],MADKID LIVE TOUR: MAZE MUSEUM [서울 (앵콜) ] 예상 셋리스트
