id,artist_name,concert_title,type,song_count
33,,,,0
99,,,,0
132,,,,0
42,,,,0
43,,,,0
108,,,,0
109,,,,0
141,,,,0
142,,,,0
48,,,,0
114,,,,0
147,,,,0
56,,,,0
58,,,,0
122,,,,0
124,,,,0
155,,,,0
157,,,,0
50,,,,0
116,,,,0
149,,,,0
34,,,,0
100,,,,0
133,,,,0
41,,,,0
74,,,,0
107,,,,0
140,,,,0
173,,,,16
206,,,,16
239,,,,16
39,,,,0
105,,,,0
138,,,,0
38,,,,0
104,,,,0
137,,,,0
44,,,,0
61,,,,0
64,,,,0
110,,,,0
127,,,,0
130,,,,0
143,,,,0
160,,,,0
163,,,,0
37,,,,0
59,,,,0
103,,,,0
125,,,,0
136,,,,0
158,,,,0
55,,,,0
121,,,,0
154,,,,0
36,,,,0
52,,,,0
60,,,,0
102,,,,0
118,,,,0
126,,,,0
135,,,,0
151,,,,0
159,,,,0
62,,,,0
128,,,,0
161,,,,0
46,,,,0
112,,,,0
145,,,,0
35,,,,0
101,,,,0
134,,,,0
45,,,,0
65,,,,0
78,,,,0
111,,,,0
131,,,,0
144,,,,0
164,,,,0
177,,,,18
210,,,,18
243,,,,18
54,,,,0
120,,,,0
153,,,,0
63,,,,0
129,,,,0
162,,,,0
57,,,,0
123,,,,0
156,,,,0
40,,,,0
47,,,,0
49,,,,0
51,,,,0
53,,,,0
106,,,,0
113,,,,0
115,,,,0
117,,,,0
119,,,,0
139,,,,0
146,,,,0
148,,,,0
150,,,,0
152,,,,0
69,ARGY (아르지),ARGY 내한 콘서트 1st show in korea,EXPECTED,0
168,ARGY (아르지),ARGY 내한 콘서트 1st show in korea,EXPECTED,17
201,ARGY (아르지),ARGY 내한 콘서트 1st show in korea,EXPECTED,17
234,ARGY (아르지),ARGY 내한 콘서트 1st show in korea,EXPECTED,17
84,ASCA (아스카),ASCA ASIA TOUR [서울],EXPECTED,0
183,ASCA (아스카),ASCA ASIA TOUR [서울],EXPECTED,16
216,ASCA (아스카),ASCA ASIA TOUR [서울],EXPECTED,16
249,ASCA (아스카),ASCA ASIA TOUR [서울],EXPECTED,16
