concert_id,concert_title,genre_id,name
1992,RT 50: My New Band Believe Live [서울],4,INDIE
1993,더 워닝 내한 공연 (The Warning Live) [서울],2,ROCK_METAL
1994,ASH DA HERO ASIA TOUR [서울],1,JPOP
1994,ASH DA HERO ASIA TOUR [서울],2,ROCK_METAL
1995,tobi lou: Same Old Jeans 투어 [서울],3,RAP_HIPHOP
1995,tobi lou: Same Old Jeans 투어 [서울],5,POP
1996,The Novembers TOUR : The Singing Engines [서울],1,JPOP
1996,The Novembers TOUR : The Singing Engines [서울],2,ROCK_METAL
1972,후지이 카제 Prema 월드 투어 [서울],1,JPOP
1997,RT 50: caroline live in seoul,4,INDIE
1997,RT 50: caroline live in seoul,5,POP
1998,"밴드 831 월드 투어, 날개 없는 사람 [서울]",2,ROCK_METAL
1998,"밴드 831 월드 투어, 날개 없는 사람 [서울]",5,POP
1999,세쿠 내한 공연 (Sekou Live) [서울],5,POP
2000,레이첼 야마가타 (Rachael Yamagata) 내한공연,4,INDIE
2000,레이첼 야마가타 (Rachael Yamagata) 내한공연,5,POP
1982,스티브 레이시 첫 단독 내한공연,4,INDIE
1982,스티브 레이시 첫 단독 내한공연,5,POP
2001,My Dark Secret Transcendence Live In Seoul,2,ROCK_METAL
1960,TAKUYA KIMURA Live Tour: Checkpoint in Seoul,1,JPOP
2002,폴 길버트 내한공연 Paul Gilbert WROC World Tour,2,ROCK_METAL
2003,Regallily Asia Tour: Dawn [서울],1,JPOP
2003,Regallily Asia Tour: Dawn [서울],2,ROCK_METAL
2004,HARAKIRI FOR THE SKY LIVE IN SEOUL,2,ROCK_METAL
