setlist_id,song_id,order_index,fanchant,created_at,setlist_date,setlist_title,song_title,updated_at,fanchant_point
1000,98,1,,2025-09-12 22:36:35,,,さよならメモリーズ,2025-09-12 22:36:35,
1000,102,2,,2025-09-12 22:36:35,,,もしもぼくらがGAMEの主役で,2025-09-12 22:36:35,
1000,104,3,,2025-09-12 22:36:35,,,打上花火,2025-09-12 22:36:35,
1000,87,4,,2025-09-12 22:36:35,,,anima,2025-09-12 22:36:35,
1000,100,5,,2025-09-12 22:36:35,,,ぼくらのDAYS,2025-09-12 22:36:35,
1000,103,6,,2025-09-12 22:36:35,,,御伽の街,2025-09-12 22:36:35,
1000,93,7,,2025-09-12 22:36:35,,,おかえり,2025-09-12 22:36:35,
1000,99,8,,2025-09-12 22:36:35,,,ステップアップLOVE,2025-09-12 22:36:35,
1000,106,9,,2025-09-12 22:36:35,,,水星,2025-09-12 22:36:35,
1000,107,10,,2025-09-12 22:36:35,,,終わらない世界で,2025-09-12 22:36:35,
1000,96,11,,2025-09-12 22:36:35,,,カルマ,2025-09-12 22:36:35,
1000,91,12,,2025-09-12 22:36:35,,,Dimension,2025-09-12 22:36:35,
1000,94,13,,2025-09-12 22:36:35,,,オワラセナイト,2025-09-12 22:36:35,
1000,101,14,,2025-09-12 22:36:35,,,メギツネ,2025-09-12 22:36:35,
1000,89,15,,2025-09-12 22:36:35,,,BOY,2025-09-12 22:36:35,
1000,97,16,,2025-09-12 22:36:35,,,さみしいかみさま,2025-09-12 22:36:35,
1000,88,17,,2025-09-12 22:36:35,,,BANG!,2025-09-12 22:36:35,
1000,95,18,,2025-09-12 22:36:35,,,かけてあげる,2025-09-12 22:36:35,
1000,92,19,,2025-09-12 22:36:35,,,Higher,2025-09-12 22:36:35,
1000,90,20,,2025-09-12 22:36:35,,,DAOKO,2025-09-12 22:36:35,
1000,105,21,,2025-09-12 22:36:35,,,拝啓グッバイ,2025-09-12 22:36:35,
1001,569,1,,2025-09-12 22:36:35,,,ARE WE STILL FRIENDS?,2025-09-12 22:36:35,
1001,585,2,,2025-09-12 22:36:35,,,WUSYANAME,2025-09-12 22:36:35,
1001,574,3,,2025-09-12 22:36:35,,,HOT WIND BLOWS,2025-09-12 22:36:35,
1001,577,4,,2025-09-12 22:36:35,,,LEMONHEAD,2025-09-12 22:36:35,
