setlist_id,song_id,order_index,fanchant,created_at,setlist_date,setlist_title,song_title,updated_at,fanchant_point
1000,98,1,,2025-09-12 22:33:48,,,さよならメモリーズ,2025-09-12 22:33:48,
1000,102,2,,2025-09-12 22:33:48,,,もしもぼくらがGAMEの主役で,2025-09-12 22:33:48,
1000,104,3,,2025-09-12 22:33:48,,,打上花火,2025-09-12 22:33:48,
1000,87,4,,2025-09-12 22:33:48,,,anima,2025-09-12 22:33:48,
1000,100,5,,2025-09-12 22:33:48,,,ぼくらのDAYS,2025-09-12 22:33:48,
1000,103,6,,2025-09-12 22:33:48,,,御伽の街,2025-09-12 22:33:48,
1000,93,7,,2025-09-12 22:33:48,,,おかえり,2025-09-12 22:33:48,
1000,99,8,,2025-09-12 22:33:48,,,ステップアップLOVE,2025-09-12 22:33:48,
1000,106,9,,2025-09-12 22:33:48,,,水星,2025-09-12 22:33:48,
1000,107,10,,2025-09-12 22:33:48,,,終わらない世界で,2025-09-12 22:33:48,
1000,96,11,,2025-09-12 22:33:48,,,カルマ,2025-09-12 22:33:48,
1000,91,12,,2025-09-12 22:33:48,,,Dimension,2025-09-12 22:33:48,
1000,94,13,,2025-09-12 22:33:48,,,オワラセナイト,2025-09-12 22:33:48,
1000,101,14,,2025-09-12 22:33:48,,,メギツネ,2025-09-12 22:33:48,
1000,89,15,,2025-09-12 22:33:48,,,BOY,2025-09-12 22:33:48,
1000,97,16,,2025-09-12 22:33:48,,,さみしいかみさま,2025-09-12 22:33:48,
1000,88,17,,2025-09-12 22:33:48,,,BANG!,2025-09-12 22:33:48,
1000,95,18,,2025-09-12 22:33:48,,,かけてあげる,2025-09-12 22:33:48,
1000,92,19,,2025-09-12 22:33:48,,,Higher,2025-09-12 22:33:48,
1000,90,20,,2025-09-12 22:33:48,,,DAOKO,2025-09-12 22:33:48,
1000,105,21,,2025-09-12 22:33:48,,,拝啓グッバイ,2025-09-12 22:33:48,
1001,569,1,,2025-09-12 22:33:48,,,ARE WE STILL FRIENDS?,2025-09-12 22:33:48,
1001,585,2,,2025-09-12 22:33:48,,,WUSYANAME,2025-09-12 22:33:48,
1001,574,3,,2025-09-12 22:33:48,,,HOT WIND BLOWS,2025-09-12 22:33:48,
1001,577,4,,2025-09-12 22:33:48,,,LEMONHEAD,2025-09-12 22:33:48,
1001,579,5,,2025-09-12 22:33:48,,,NEW MAGIC WAND,2025-09-12 22:33:48,
1001,578,6,,2025-09-12 22:33:48,,,LUMBERJACK,2025-09-12 22:33:48,
1001,576,7,,2025-09-12 22:33:48,,,IFHY,2025-09-12 22:33:48,
1001,583,8,,2025-09-12 22:33:48,,,TAMALE,2025-09-12 22:33:48,
1001,584,9,,2025-09-12 22:33:48,,,WHO DAT BOY,2025-09-12 22:33:48,
1001,581,10,,2025-09-12 22:33:48,,,SEE YOU AGAIN,2025-09-12 22:33:48,
1001,575,11,,2025-09-12 22:33:48,,,I THINK,2025-09-12 22:33:48,
1001,582,12,,2025-09-12 22:33:48,,,SMUCKERS,2025-09-12 22:33:48,
1001,572,13,,2025-09-12 22:33:48,,,EARFQUAKE,2025-09-12 22:33:48,
1001,573,14,,2025-09-12 22:33:48,,,"GONE, GONE / THANK YOU",2025-09-12 22:33:48,
1001,570,15,,2025-09-12 22:33:48,,,CORSO,2025-09-12 22:33:48,
1001,580,16,,2025-09-12 22:33:48,,,RUNITUP,2025-09-12 22:33:48,
1001,571,17,,2025-09-12 22:33:48,,,DOGTOOTH,2025-09-12 22:33:48,
1001,568,18,,2025-09-12 22:33:48,,,911 / Mr. Lonely,2025-09-12 22:33:48,
1002,502,1,,2025-09-12 22:33:48,,,Dizzy,2025-09-12 22:33:48,
1002,511,2,,2025-09-12 22:33:48,,,The Book About My Idle Words,2025-09-12 22:33:48,
1002,508,3,,2025-09-12 22:33:48,,,Our Next Movement,2025-09-12 22:33:48,
1002,499,4,,2025-09-12 22:33:48,,,A Little Knowledge,2025-09-12 22:33:48,
1002,507,5,,2025-09-12 22:33:48,,,Me And The Wall,2025-09-12 22:33:48,
1002,503,6,,2025-09-12 22:33:48,,,Etude,2025-09-12 22:33:48,
1002,505,7,,2025-09-12 22:33:48,,,Kodoku No Hatsumei (孤獨の発明),2025-09-12 22:33:48,
1002,512,8,,2025-09-12 22:33:48,,,The Latest,2025-09-12 22:33:48,
1002,513,9,,2025-09-12 22:33:48,,,Tremolo + Delay,2025-09-12 22:33:48,
